ACL_ID	TYPE	ENTRY_TYPE	PRINCIPAL	PERMISSIONS	STATUS
1	object	localgroup	rod_user	v,u,d	1
1	object	localgroup	rod_admin	v,u,d,c	1
2	object	localgroup	rod_user	v,u,d	1
2	object	localgroup	rod_admin	v,u,d,c	1
3	object	localgroup	rod_user	v,u,d	1
3	object	localgroup	rod_admin	v,u,d,c	1
4	object	localgroup	rod_user	v,u,d	1
4	object	localgroup	rod_admin	v,u,d,c	1
5	object	localgroup	rod_user	v,u,d	1
5	object	localgroup	rod_admin	v,u,d,c	1
6	object	localgroup	rod_user	v,u,d	1
6	object	localgroup	rod_admin	v,u,d,c	1
7	object	localgroup	rod_user	v,u,d	1
7	object	localgroup	rod_admin	v,u,d,c	1
8	object	localgroup	rod_user	v,u,d	1
8	object	localgroup	rod_admin	v,u,d,c	1
9	object	localgroup	rod_user	v,u,d	1
9	object	localgroup	rod_admin	v,u,d,c	1
10	object	localgroup	rod_user	v,u,d	1
10	object	localgroup	rod_admin	v,u,d,c	1
11	object	localgroup	rod_user	v,u,d	1
11	object	localgroup	rod_admin	v,u,d,c	1
12	object	localgroup	rod_user	v,u,d	1
12	object	localgroup	rod_admin	v,u,d,c	1
13	object	localgroup	rod_user	v,u,d	1
13	object	localgroup	rod_admin	v,u,d,c	1
14	object	localgroup	rod_user	v,u,d	1
14	object	localgroup	rod_admin	v,u,d,c	1
15	object	localgroup	rod_user	v,u,d	1
15	object	localgroup	rod_admin	v,u,d,c	1
16	object	localgroup	rod_user	v,u,d	1
16	object	localgroup	rod_admin	v,u,d,c	1
17	object	localgroup	rod_user	v,u,d	1
17	object	localgroup	rod_admin	v,u,d,c	1
18	object	localgroup	rod_user	v,u,d	1
18	object	localgroup	rod_admin	v,u,d,c	1
19	object	localgroup	rod_user	v,u,d	1
19	object	localgroup	rod_admin	v,u,d,c	1
20	object	localgroup	rod_user	v,u,d	1
20	object	localgroup	rod_admin	v,u,d,c	1
21	object	localgroup	rod_user	v,u,d	1
21	object	localgroup	rod_admin	v,u,d,c	1
22	object	localgroup	rod_user	v,u,d	1
22	object	localgroup	rod_admin	v,u,d,c	1
23	object	localgroup	rod_user	v,u,d	1
23	object	localgroup	rod_admin	v,u,d,c	1
24	object	localgroup	rod_user	v,u,d	1
24	object	localgroup	rod_admin	v,u,d,c	1
25	object	localgroup	rod_user	v,u,d	1
25	object	localgroup	rod_admin	v,u,d,c	1
26	object	localgroup	rod_user	v,u,d	1
26	object	localgroup	rod_admin	v,u,d,c	1
27	object	localgroup	rod_user	v,u,d	1
27	object	localgroup	rod_admin	v,u,d,c	1
28	object	localgroup	rod_user	v,u,d	1
28	object	localgroup	rod_admin	v,u,d,c	1
29	object	localgroup	rod_user	v,u,d	1
29	object	localgroup	rod_admin	v,u,d,c	1
30	object	localgroup	rod_user	v,u,d	1
30	object	localgroup	rod_admin	v,u,d,c	1
631	object	localgroup	rod_user	v,u,d	1
631	object	localgroup	rod_admin	v,u,d,c	1
32	object	localgroup	rod_user	v,u,d	1
32	object	localgroup	rod_admin	v,u,d,c	1
632	object	localgroup	rod_user	v,u,d	1
632	object	localgroup	rod_admin	v,u,d,c	1
34	object	localgroup	rod_user	v,u,d	1
34	object	localgroup	rod_admin	v,u,d,c	1
35	object	localgroup	rod_user	v,u,d	1
35	object	localgroup	rod_admin	v,u,d,c	1
36	object	localgroup	rod_user	v,u,d	1
36	object	localgroup	rod_admin	v,u,d,c	1
37	object	localgroup	rod_user	v,u,d	1
37	object	localgroup	rod_admin	v,u,d,c	1
38	object	localgroup	rod_user	v,u,d	1
38	object	localgroup	rod_admin	v,u,d,c	1
735	object	localgroup	rod_user	v,u,d	1
735	object	localgroup	rod_admin	v,u,d,c	1
40	object	localgroup	rod_user	v,u,d	1
40	object	localgroup	rod_admin	v,u,d,c	1
41	object	localgroup	rod_user	v,u,d	1
41	object	localgroup	rod_admin	v,u,d,c	1
649	object	localgroup	rod_user	v,u,d	1
649	object	localgroup	rod_admin	v,u,d,c	1
716	object	localgroup	rod_user	v,u,d	1
716	object	localgroup	rod_admin	v,u,d,c	1
661	object	localgroup	rod_user	v,u,d	1
661	object	localgroup	rod_admin	v,u,d,c	1
660	object	localgroup	rod_user	v,u,d	1
660	object	localgroup	rod_admin	v,u,d,c	1
659	object	localgroup	rod_user	v,u,d	1
659	object	localgroup	rod_admin	v,u,d,c	1
658	object	localgroup	rod_user	v,u,d	1
658	object	localgroup	rod_admin	v,u,d,c	1
655	object	localgroup	rod_user	v,u,d	1
655	object	localgroup	rod_admin	v,u,d,c	1
714	object	localgroup	rod_user	v,u,d	1
714	object	localgroup	rod_admin	v,u,d,c	1
50	object	localgroup	rod_user	v,u,d	1
50	object	localgroup	rod_admin	v,u,d,c	1
51	object	localgroup	rod_user	v,u,d	1
51	object	localgroup	rod_admin	v,u,d,c	1
52	object	localgroup	rod_user	v,u,d	1
52	object	localgroup	rod_admin	v,u,d,c	1
53	object	localgroup	rod_user	v,u,d	1
53	object	localgroup	rod_admin	v,u,d,c	1
54	object	localgroup	rod_user	v,u,d	1
54	object	localgroup	rod_admin	v,u,d,c	1
55	object	localgroup	rod_user	v,u,d	1
55	object	localgroup	rod_admin	v,u,d,c	1
56	object	localgroup	rod_user	v,u,d	1
56	object	localgroup	rod_admin	v,u,d,c	1
57	object	localgroup	rod_user	v,u,d	1
57	object	localgroup	rod_admin	v,u,d,c	1
58	object	localgroup	rod_user	v,u,d	1
58	object	localgroup	rod_admin	v,u,d,c	1
59	object	localgroup	rod_user	v,u,d	1
59	object	localgroup	rod_admin	v,u,d,c	1
687	object	localgroup	rod_user	v,u,d	1
687	object	localgroup	rod_admin	v,u,d,c	1
61	object	localgroup	rod_user	v,u,d	1
61	object	localgroup	rod_admin	v,u,d,c	1
62	object	localgroup	rod_user	v,u,d	1
62	object	localgroup	rod_admin	v,u,d,c	1
63	object	localgroup	rod_user	v,u,d	1
63	object	localgroup	rod_admin	v,u,d,c	1
64	object	localgroup	rod_user	v,u,d	1
64	object	localgroup	rod_admin	v,u,d,c	1
65	object	localgroup	rod_user	v,u,d	1
65	object	localgroup	rod_admin	v,u,d,c	1
66	object	localgroup	rod_user	v,u,d	1
66	object	localgroup	rod_admin	v,u,d,c	1
67	object	localgroup	rod_user	v,u,d	1
67	object	localgroup	rod_admin	v,u,d,c	1
68	object	localgroup	rod_user	v,u,d	1
68	object	localgroup	rod_admin	v,u,d,c	1
69	object	localgroup	rod_user	v,u,d	1
69	object	localgroup	rod_admin	v,u,d,c	1
70	object	localgroup	rod_user	v,u,d	1
70	object	localgroup	rod_admin	v,u,d,c	1
71	object	localgroup	rod_user	v,u,d	1
71	object	localgroup	rod_admin	v,u,d,c	1
72	object	localgroup	rod_user	v,u,d	1
72	object	localgroup	rod_admin	v,u,d,c	1
73	object	localgroup	rod_user	v,u,d	1
73	object	localgroup	rod_admin	v,u,d,c	1
74	object	localgroup	rod_user	v,u,d	1
74	object	localgroup	rod_admin	v,u,d,c	1
75	object	localgroup	rod_user	v,u,d	1
75	object	localgroup	rod_admin	v,u,d,c	1
76	object	localgroup	rod_user	v,u,d	1
76	object	localgroup	rod_admin	v,u,d,c	1
77	object	localgroup	rod_user	v,u,d	1
77	object	localgroup	rod_admin	v,u,d,c	1
78	object	localgroup	rod_user	v,u,d	1
78	object	localgroup	rod_admin	v,u,d,c	1
79	object	localgroup	rod_user	v,u,d	1
79	object	localgroup	rod_admin	v,u,d,c	1
80	object	localgroup	rod_user	v,u,d	1
80	object	localgroup	rod_admin	v,u,d,c	1
81	object	localgroup	rod_user	v,u,d	1
81	object	localgroup	rod_admin	v,u,d,c	1
82	object	localgroup	rod_user	v,u,d	1
82	object	localgroup	rod_admin	v,u,d,c	1
83	object	localgroup	rod_user	v,u,d	1
83	object	localgroup	rod_admin	v,u,d,c	1
84	object	localgroup	rod_user	v,u,d	1
84	object	localgroup	rod_admin	v,u,d,c	1
85	object	localgroup	rod_user	v,u,d	1
85	object	localgroup	rod_admin	v,u,d,c	1
86	object	localgroup	rod_user	v,u,d	1
86	object	localgroup	rod_admin	v,u,d,c	1
87	object	localgroup	rod_user	v,u,d	1
87	object	localgroup	rod_admin	v,u,d,c	1
88	object	localgroup	rod_user	v,u,d	1
88	object	localgroup	rod_admin	v,u,d,c	1
89	object	localgroup	rod_user	v,u,d	1
89	object	localgroup	rod_admin	v,u,d,c	1
90	object	localgroup	rod_user	v,u,d	1
90	object	localgroup	rod_admin	v,u,d,c	1
91	object	localgroup	rod_user	v,u,d	1
91	object	localgroup	rod_admin	v,u,d,c	1
92	object	localgroup	rod_user	v,u,d	1
92	object	localgroup	rod_admin	v,u,d,c	1
93	object	localgroup	rod_user	v,u,d	1
93	object	localgroup	rod_admin	v,u,d,c	1
94	object	localgroup	rod_user	v,u,d	1
94	object	localgroup	rod_admin	v,u,d,c	1
95	object	localgroup	rod_user	v,u,d	1
95	object	localgroup	rod_admin	v,u,d,c	1
96	object	localgroup	rod_user	v,u,d	1
96	object	localgroup	rod_admin	v,u,d,c	1
97	object	localgroup	rod_user	v,u,d	1
97	object	localgroup	rod_admin	v,u,d,c	1
98	object	localgroup	rod_user	v,u,d	1
98	object	localgroup	rod_admin	v,u,d,c	1
99	object	localgroup	rod_user	v,u,d	1
99	object	localgroup	rod_admin	v,u,d,c	1
100	object	localgroup	rod_user	v,u,d	1
100	object	localgroup	rod_admin	v,u,d,c	1
101	object	localgroup	rod_user	v,u,d	1
101	object	localgroup	rod_admin	v,u,d,c	1
102	object	localgroup	rod_user	v,u,d	1
102	object	localgroup	rod_admin	v,u,d,c	1
103	object	localgroup	rod_user	v,u,d	1
103	object	localgroup	rod_admin	v,u,d,c	1
104	object	localgroup	rod_user	v,u,d	1
104	object	localgroup	rod_admin	v,u,d,c	1
105	object	localgroup	rod_user	v,u,d	1
105	object	localgroup	rod_admin	v,u,d,c	1
106	object	localgroup	rod_user	v,u,d	1
106	object	localgroup	rod_admin	v,u,d,c	1
107	object	localgroup	rod_user	v,u,d	1
107	object	localgroup	rod_admin	v,u,d,c	1
108	object	localgroup	rod_user	v,u,d	1
108	object	localgroup	rod_admin	v,u,d,c	1
109	object	localgroup	rod_user	v,u,d	1
109	object	localgroup	rod_admin	v,u,d,c	1
110	object	localgroup	rod_user	v,u,d	1
110	object	localgroup	rod_admin	v,u,d,c	1
111	object	localgroup	rod_user	v,u,d	1
