PK_CLIENT_ID	CLIENT_NAME	CLIENT_ACRONYM	CLIENT_URL	CLIENT_ADDRESS	CLIENT_EMAIL	DESCRIPTION	POSTAL_CODE	CITY	COUNTRY	CLIENT_SHORT_NAME
1	UNEP - Ozone Secretariat	OZONE	http://www.unep.org/ozone	NULL	NULL	NULL	NULL	NULL	NULL	NULL
2	European Commission, Directorate General Environment	DG ENV (EC)	http://ec.europa.eu/dgs/environment/index_en.htm	Rue de la Loi 200	NULL		B-1049	Brussels	Belgium	
3	European Environment Agency	EEA	http://www.eea.europa.eu/	Kongens Nytorv 6	NULL		DK-1050	Copenhagen	Denmark	NULL
4	OSPAR Convention	OSPAR	http://www.ospar.org/	New Court, 48 Carey Street	secretariat@ospar.org		GB-WC2A 2JQ	London	United Kingdom	NULL
102	European Commission, Directorate General for Maritime Affairs and Fisheries	DG MARE	http://ec.europa.eu/dgs/maritimeaffairs_fisheries/index_en.htm	Rue Joseph II, 99	NULL	NULL	NULL	Brussels	Belgium	NULL
6	Basel Convention	SBC	http://www.basel.int/	11-13 chemin des Anémones	sbc@unep.ch		CH-1219	Châtelaine, Geneva	Bosnia-Herzegovina	NULL
7	Eurostat	EUROSTAT	http://epp.eurostat.ec.europa.eu/	Bâtiment Jean Monnet Rue Alcide de Gasperi	NULL		L-2920	Luxembourg	Luxembourg	NULL
8	Arctic Council, AMAP Secretariat	AMAP	http://www.amap.no/	Strømsveien 96, P.O. Box 8100 Dep	amap@amap.no		N-0032	Oslo	Norway	NULL
10	European Council	NULL	http://www.european-council.europa.eu	Rue de la Loi, 175	NULL	The European Council is the institution of the European Union (EU) responsible for defining the general political direction and priorities of the Union. It is different from the Council (or Council of the European Union).	B-1048	Brussels	NULL	NULL
11	United Nations	UN	http://www.un.org		NULL				NULL	NULL
12	European Parliament and Council	EP&C	http://www.europarl.europa.eu/	WiertzStraat	NULL	NULL	B-1047	Brussels	Belgium	NULL
14	International Commission for the Protection of the Danube River	ICPDR	http://www.icpdr.org/	Vienna International Center, D0412, P. O. Box 500	icpdr@unvienna.org		A-1400	Vienna	Austria	NULL
15	International Commission for the Protection of the Elbe	ICPE / IKSE / MKOL	http://www.ikse-mkol.de/	Fürstenwallstr. 20	IKSE.MKOL@t-online.de		D-39104	Magdeburg	Germany	NULL
