FK_RA_ID	DEADLINE
8	1995-12-31
9	2004-03-31
13	1999-12-31
14	2018-04-15
15	2002-02-15
16	2001-04-15
24	2007-08-31
26	2001-10-01
27	2001-12-31
28	2005-10-31
29	2005-10-31
30	2005-10-31
31	2001-07-01
32	2009-03-15
33	2001-09-30
35	2001-12-31
37	2005-05-31
43	1996-09-30
48	2000-06-30
49	2000-06-30
51	2000-06-30
52	2000-06-30
54	1996-06-30
56	2001-09-30
57	2001-09-30
65	2001-09-30
66	2002-06-30
67	2005-06-30
68	1998-09-30
69	2001-09-30
71	2003-09-30
83	1996-09-30
94	1996-09-30
96	1996-09-30
97	1996-09-30
98	1996-09-30
102	2000-04-15
104	1979-09-30
106	1996-06-30
118	1989-12-31
131	1998-10-01
136	2013-03-22
137	2002-09-30
138	2003-09-30
141	2002-12-31
143	2001-06-30
146	2006-01-21
147	2008-06-30
148	2007-09-30
149	2006-06-30
156	2007-10-31
158	2002-08-31
159	2002-06-30
160	2002-04-01
163	1997-01-30
164	2007-09-30
169	2002-12-31
171	2012-02-28
172	1999-06-30
174	2007-09-30
184	2018-12-31
185	1999-12-31
199	2002-06-30
200	2002-06-30
201	2005-12-31
202	2005-12-31
205	2005-12-31
206	2005-12-31
207	2005-12-31
208	2005-12-31
209	1996-03-31
213	2011-03-31
229	2003-06-30
241	1976-10-31
243	2002-12-31
248	2006-03-30
250	2002-10-31
251	2003-01-31
252	1999-10-31
253	1999-10-31
256	2000-10-31
257	2000-10-31
269	2019-04-30
273	2004-12-31
278	2019-07-31
280	2003-12-31
281	1997-01-01
291	2003-06-30
292	2004-04-01
293	2003-06-30
294	2002-06-30
295	2003-06-30
296	2003-06-30
302	1998-12-31
303	2003-06-05
304	2003-12-31
306	2003-12-31
310	1992-12-31
313	1998-12-31
315	1986-12-31
316	1986-12-31
317	1986-12-31
318	1986-12-31
319	1986-12-31
320	2003-12-31
321	2000-12-31
322	1986-12-31
324	1986-12-31
325	2001-04-24
327	1995-12-31
329	1999-11-30
331	1999-11-01
332	1999-11-30
338	1998-12-31
344	1990-05-31
345	2003-12-31
346	2003-12-31
347	2004-05-31
354	2003-06-01
355	2004-03-30
356	2000-06-30
357	1985-02-15
358	2009-07-31
359	1998-06-15
360	1999-06-15
362	2004-05-01
363	2005-09-01
366	2005-06-30
367	2010-06-30
368	2007-12-30
370	2009-01-18
371	2014-01-18
373	2003-11-30
374	1991-12-18
375	2000-09-30
376	2011-03-07
377	2002-01-31
378	1996-11-01
384	2005-01-15
385	2007-03-15
