PK_HISTORY_ID	ITEM_ID	ITEM_TYPE	ACTION_TYPE	LOG_TIME	USER	DESCRIPTION
17276	184	L	U	2008-11-07 12:21:13	Lidija Globevnik	UN ECE Convention on the protection and use of transboundary watercourses and international lakes
17277	618	L	U	2008-11-07 12:54:32	Lidija Globevnik	Protocol on Water and Health to the 1992 Convention on the Protection and Use of Transboundary Watercourses and International Lakes
17278	616	L	D	2008-11-07 13:04:16	Lidija Globevnik	
17310	539	A	D	2008-11-13 14:19:33	Søren Roug	
17311	558	A	U	2008-11-13 14:22:19	Søren Roug	Noise control programmes 1
17312	367	A	U	2008-11-13 14:23:37	Søren Roug	Report on all major roads, railways, airports and agglomerations
17313	370	A	U	2008-11-13 14:27:25	Søren Roug	Action plan summaries 1
21968	225	A	N	2011-07-21 16:46:59	steenkat	Undo Update
21969	225	A	N	2011-07-21 16:47:23	steenkat	Undo Update
22579	510	L	N	2011-11-25 13:52:00	kjaerbir	Undo Update
22580	510	L	R	2011-11-25 13:53:55	kjaerbir	Redo Update
26559	703	A	N	2014-02-20 15:25:26	dejeafr	Undo Update
28253	157	A	N	2015-01-21 12:48:50	peifer	Undo Update
28254	157	A	N	2015-01-21 12:49:11	peifer	Undo Update
28255	157	A	N	2015-01-21 12:49:18	peifer	Undo Update
28256	157	A	N	2015-01-21 12:49:24	peifer	Undo Update
29878	686	A	N	2016-02-16 12:35:11	peifer	Undo Update
29986	660	A	N	2016-03-15 16:12:40	peifer	Undo Update
30200	712	A	N	2016-05-03 13:05:02	simoens	Undo Update
30201	712	A	R	2016-05-03 13:07:09	simoens	Redo Update
31778	691	A	N	2017-03-20 17:42:22	peifer	Undo Update
