FK_RA_ID	FK_INFO_ID
8	C
8	D
14	D
14	E
21	C
21	D
21	E
21	T
27	T
28	D
28	E
29	D
29	E
30	D
30	E
33	D
33	E
33	S
35	D
37	D
37	E
37	S
43	C
43	D
43	E
43	T
48	D
48	E
49	D
49	E
51	D
52	D
52	E
56	C
56	D
56	T
57	C
57	T
59	C
59	D
59	E
59	T
65	C
65	T
66	C
66	D
67	C
67	D
68	C
68	D
68	T
69	C
69	T
71	A
71	C
71	D
71	R
71	T
83	C
83	D
83	T
84	C
84	D
84	T
85	C
94	C
94	T
96	C
96	D
96	T
97	C
97	D
97	T
98	C
98	T
104	C
104	D
104	E
106	C
106	D
106	E
106	S
106	T
117	C
117	D
117	E
118	C
118	D
118	E
118	T
122	C
122	E
122	T
123	C
123	D
123	E
123	S
123	T
130	C
130	D
130	E
131	D
131	E
131	R
131	S
136	C
136	D
136	E
136	S
136	T
137	C
137	D
137	E
137	R
137	S
138	C
138	D
138	E
138	R
138	S
141	D
143	C
143	D
143	E
143	S
144	C
144	D
144	E
144	T
146	C
146	D
146	T
147	C
147	D
148	C
148	T
149	D
149	E
157	C
158	D
162	A
162	R
164	C
164	D
164	E
164	T
174	C
174	D
174	E
174	S
174	T
179	E
184	D
184	E
186	C
186	T
187	T
188	C
188	E
188	T
199	C
199	E
199	T
200	C
200	T
201	C
201	E
201	T
202	C
202	T
205	C
205	E
205	T
206	C
206	E
206	T
207	C
207	E
207	T
208	C
208	T
209	C
209	E
209	T
210	C
210	E
210	T
211	C
211	E
211	T
212	C
212	T
213	C
213	D
214	C
214	E
214	T
215	E
215	T
216	E
216	T
217	E
217	T
218	E
218	T
219	C
219	D
220	C
220	E
220	T
221	E
221	T
222	E
222	T
223	E
223	T
224	E
224	T
225	E
225	T
227	C
227	D
228	C
228	E
228	T
229	D
229	E
230	C
230	D
230	E
233	C
233	E
233	T
234	C
234	D
234	E
235	C
235	D
235	E
236	C
236	E
236	T
237	C
237	E
237	T
239	C
239	T
240	C
240	E
240	T
241	C
241	E
241	T
243	C
243	E
243	T
247	C
247	T
248	C
248	T
249	C
249	T
250	C
250	T
251	C
251	T
252	C
252	T
253	C
253	T
254	C
254	T
255	C
255	T
256	C
256	T
257	C
257	T
258	C
258	E
258	T
259	C
259	T
260	C
260	D
260	E
261	C
261	D
261	E
262	C
262	T
263	C
263	E
263	T
264	C
264	E
264	T
268	C
269	C
273	D
273	E
274	C
274	D
276	C
276	T
278	C
278	E
278	T
280	C
280	E
280	T
281	E
281	T
282	C
282	T
283	E
283	T
284	E
284	T
285	E
285	T
286	E
286	T
287	E
287	T
288	C
288	D
289	E
289	T
290	E
290	T
291	C
291	T
292	C
292	T
293	E
293	T
294	C
294	E
294	T
295	C
295	T
296	C
296	T
297	C
297	T
298	C
298	T
301	C
301	T
302	C
302	T
303	C
303	T
304	D
304	T
305	D
305	E
305	T
306	D
306	S
306	T
307	T
308	C
308	T
309	C
309	D
310	D
310	E
310	S
310	T
311	D
311	E
311	S
311	T
312	D
312	E
312	S
313	D
313	E
313	S
313	T
314	D
314	E
314	S
315	D
315	E
315	S
316	D
316	E
316	S
316	T
317	C
317	D
317	E
317	S
317	T
318	D
318	E
318	S
318	T
319	D
319	E
319	S
319	T
320	D
320	E
320	S
320	T
321	D
321	E
