FK_SPATIAL_ID	FK_RA_ID	VOLUNTARY	START_DATE	END_DATE	PK_SPATIAL_HISTORY_ID
41	8	N	0000-00-00	2009-12-15	1
40	8	N	0000-00-00	2009-12-15	2
39	8	N	0000-00-00	2009-12-15	3
38	8	N	0000-00-00	2009-12-15	4
27	8	N	0000-00-00	2009-12-15	5
37	8	N	0000-00-00	2009-12-15	6
36	8	N	0000-00-00	2009-12-15	7
35	8	N	0000-00-00	2009-12-15	8
34	8	N	0000-00-00	2009-12-15	9
33	8	N	0000-00-00	2009-12-15	10
32	8	N	0000-00-00	2009-12-15	11
31	8	N	0000-00-00	2009-12-15	12
30	8	N	0000-00-00	2009-12-15	13
29	8	N	0000-00-00	2009-12-15	14
28	8	N	0000-00-00	2009-12-15	15
103	8	N	0000-00-00	2009-12-15	16
26	8	N	0000-00-00	2009-12-15	17
25	8	N	0000-00-00	2009-12-15	18
23	8	N	0000-00-00	2009-12-15	19
22	8	N	0000-00-00	2009-12-15	20
102	8	N	0000-00-00	2009-12-15	21
21	8	N	0000-00-00	2009-12-15	22
19	8	N	0000-00-00	2009-12-15	23
20	8	N	0000-00-00	2009-12-15	24
18	8	N	0000-00-00	2009-12-15	25
17	8	N	0000-00-00	2009-12-15	26
16	8	N	0000-00-00	2009-12-15	27
15	8	N	0000-00-00	2009-12-15	28
99	8	N	0000-00-00	2009-12-15	29
14	8	N	0000-00-00	2009-12-15	30
24	8	N	0000-00-00	2009-12-15	31
13	8	N	0000-00-00	2009-12-15	32
12	8	N	0000-00-00	2009-12-15	33
11	8	N	0000-00-00	2009-12-15	34
10	8	N	0000-00-00	2009-12-15	35
9	8	N	0000-00-00	2009-12-15	36
8	8	N	0000-00-00	2009-12-15	37
7	8	N	0000-00-00	2009-12-15	38
6	8	N	0000-00-00	2009-12-15	39
5	8	N	0000-00-00	2009-12-15	40
4	8	N	0000-00-00	2009-12-15	41
98	8	N	0000-00-00	2009-12-15	42
3	8	N	0000-00-00	2009-12-15	43
97	8	N	0000-00-00	2009-12-15	44
96	8	N	0000-00-00	2009-12-15	45
2	8	N	0000-00-00	2009-12-15	46
102	9	N	0000-00-00	2010-10-05	47
40	9	N	0000-00-00	2010-10-05	48
27	9	N	0000-00-00	2010-10-05	49
37	9	N	0000-00-00	2003-12-03	50
36	9	N	0000-00-00	2010-10-05	51
35	9	N	0000-00-00	2010-10-05	52
30	9	N	0000-00-00	2010-10-05	53
28	9	N	0000-00-00	2010-10-05	54
23	9	N	0000-00-00	2010-10-05	55
19	9	N	0000-00-00	2010-10-05	56
20	9	N	0000-00-00	2010-10-05	57
18	9	N	0000-00-00	2010-10-05	58
16	9	N	0000-00-00	2010-10-05	59
15	9	N	0000-00-00	2010-10-05	60
14	9	N	0000-00-00	2010-10-05	61
13	9	N	0000-00-00	2010-10-05	62
1	9	N	0000-00-00	2003-12-03	63
11	9	N	0000-00-00	2010-10-05	64
5	9	N	0000-00-00	2010-10-05	65
3	9	N	0000-00-00	2010-10-05	66
102	11	N	0000-00-00	2009-05-11	67
40	11	N	0000-00-00	2009-05-11	68
27	11	N	0000-00-00	2009-05-11	69
37	11	N	0000-00-00	2003-12-03	70
36	11	N	0000-00-00	2009-05-11	71
35	11	N	0000-00-00	2009-05-11	72
30	11	N	0000-00-00	2009-05-11	73
28	11	N	0000-00-00	2009-05-11	74
23	11	N	0000-00-00	2009-05-11	75
19	11	N	0000-00-00	2009-05-11	76
20	11	N	0000-00-00	2009-05-11	77
18	11	N	0000-00-00	2009-05-11	78
16	11	N	0000-00-00	2009-05-11	79
15	11	N	0000-00-00	2009-05-11	80
14	11	N	0000-00-00	2009-05-11	81
13	11	N	0000-00-00	2009-05-11	82
1	11	N	0000-00-00	2003-12-03	83
11	11	N	0000-00-00	2009-05-11	84
5	11	N	0000-00-00	2009-05-11	85
3	11	N	0000-00-00	2009-05-11	86
40	13	N	0000-00-00	2014-02-18	87
27	13	N	0000-00-00	2014-02-18	88
36	13	N	0000-00-00	2014-02-18	89
35	13	N	0000-00-00	2014-02-18	90
30	13	N	0000-00-00	2014-02-18	91
23	13	N	0000-00-00	2014-02-18	92
19	13	N	0000-00-00	2014-02-18	93
20	13	N	0000-00-00	2014-02-18	94
16	13	N	0000-00-00	2014-02-18	95
15	13	N	0000-00-00	2014-02-18	96
14	13	N	0000-00-00	2014-02-18	97
13	13	N	0000-00-00	2014-02-18	98
1	13	N	0000-00-00	2003-12-01	99
11	13	N	0000-00-00	2014-02-18	100
5	13	N	0000-00-00	2014-02-18	101
3	13	N	0000-00-00	2014-02-18	102
40	14	N	0000-00-00	2009-08-10	103
38	14	N	0000-00-00	2009-08-10	104
36	14	N	0000-00-00	2009-08-10	105
35	14	N	0000-00-00	2009-08-10	106
34	14	N	0000-00-00	2009-08-10	107
33	14	N	0000-00-00	2003-11-11	108
31	14	N	0000-00-00	2009-08-10	109
30	14	N	0000-00-00	2009-08-10	110
29	14	N	0000-00-00	2009-08-10	111
28	14	N	0000-00-00	2009-08-10	112
27	14	N	0000-00-00	2009-08-10	113
25	14	N	0000-00-00	2009-08-10	114
23	14	N	0000-00-00	2003-11-11	115
22	14	N	0000-00-00	2009-08-10	116
102	14	N	0000-00-00	2003-11-11	117
21	14	N	0000-00-00	2009-08-10	118
19	14	N	0000-00-00	2009-08-10	119
20	14	N	0000-00-00	2009-08-10	120
18	14	N	0000-00-00	2009-08-10	121
17	14	N	0000-00-00	2003-11-11	122
16	14	N	0000-00-00	2009-08-10	123
15	14	N	0000-00-00	2009-08-10	124
14	14	N	0000-00-00	2009-08-10	125
13	14	N	0000-00-00	2009-08-10	126
12	14	N	0000-00-00	2009-08-10	127
11	14	N	0000-00-00	2009-08-10	128
10	14	N	0000-00-00	2003-11-11	129
9	14	N	0000-00-00	2009-08-10	130
7	14	N	0000-00-00	2009-08-10	131
5	14	N	0000-00-00	2009-08-10	132
3	14	N	0000-00-00	2003-11-11	133
37	14	Y	0000-00-00	2007-09-27	134
41	14	Y	0000-00-00	2009-08-10	135
103	14	Y	0000-00-00	2009-08-10	136
24	14	Y	0000-00-00	2009-08-10	137
8	14	Y	0000-00-00	2009-08-10	138
6	14	Y	0000-00-00	2009-08-10	139
2	14	Y	0000-00-00	2009-08-10	140
40	176	N	0000-00-00	2004-06-10	141
36	176	N	0000-00-00	2004-06-10	142
35	176	N	0000-00-00	2004-06-10	143
30	176	N	0000-00-00	2004-06-10	144
27	176	N	0000-00-00	2004-06-10	145
23	176	N	0000-00-00	2004-06-10	146
19	176	N	0000-00-00	2004-06-10	147
20	176	N	0000-00-00	2004-06-10	148
16	176	N	0000-00-00	2004-06-10	149
15	176	N	0000-00-00	2004-06-10	150
14	176	N	0000-00-00	2004-06-10	151
13	176	N	0000-00-00	2004-06-10	152
11	176	N	0000-00-00	2004-06-10	153
5	176	N	0000-00-00	2004-06-10	154
3	176	N	0000-00-00	2004-06-10	155
18	176	N	0000-00-00	2004-06-10	156
102	176	N	0000-00-00	2004-06-10	157
28	176	N	0000-00-00	2004-06-10	158
40	15	N	0000-00-00	2009-10-09	159
38	15	N	0000-00-00	2009-10-09	160
36	15	N	0000-00-00	2009-10-09	161
