FK_CLIENT_ID	FK_OBJECT_ID	TYPE	STATUS
0	637	S	M
0	638	S	M
0	639	S	M
0	640	S	M
0	641	S	M
0	642	S	M
1	71	A	M
1	530	A	M
2	8	A	C
2	11	A	M
2	21	A	M
2	35	A	M
2	39	A	M
2	40	A	M
2	43	A	M
2	48	A	C
2	56	A	M
2	57	A	M
2	65	A	M
2	66	A	M
2	67	A	M
2	68	A	M
2	83	A	M
2	85	A	M
2	94	A	M
2	96	A	M
2	97	A	M
2	98	A	M
2	104	A	M
2	136	A	M
2	143	A	M
2	146	A	M
2	147	A	M
2	148	A	M
2	160	A	M
2	162	A	M
2	164	A	M
2	173	A	M
2	174	A	M
2	259	A	M
2	260	A	M
2	261	A	M
2	262	A	M
2	263	A	M
2	264	A	M
2	301	A	M
2	302	A	M
2	303	A	M
2	304	A	M
2	305	A	M
2	306	A	M
2	307	A	M
2	313	A	C
2	314	A	C
2	315	A	C
2	316	A	C
2	317	A	C
2	318	A	C
2	319	A	C
2	320	A	C
2	321	A	C
2	322	A	C
2	323	A	C
2	324	A	C
2	359	A	M
2	360	A	M
2	366	A	M
2	368	A	M
2	370	A	M
2	372	A	M
2	374	A	M
2	375	A	M
2	378	A	M
2	440	A	C
2	442	A	C
2	506	A	C
2	516	A	M
2	518	A	M
2	520	A	M
2	525	A	M
2	526	A	C
2	534	A	M
2	535	A	M
2	536	A	M
2	558	A	M
2	566	A	M
2	572	A	C
2	575	A	C
2	576	A	M
2	577	A	M
2	578	A	M
2	579	A	M
2	605	A	M
2	606	A	M
2	620	A	M
2	621	A	M
2	626	A	M
2	627	A	M
2	632	A	C
2	638	A	M
2	645	A	C
2	648	A	M
2	657	A	M
2	659	A	M
2	667	A	M
2	676	A	M
2	677	A	M
2	678	A	M
2	689	A	M
2	691	A	C
2	706	A	M
2	707	A	M
2	716	A	C
2	721	A	M
2	722	A	M
2	724	A	M
2	748	A	M
2	749	A	M
2	750	A	M
2	751	A	M
2	752	A	M
2	753	A	M
2	756	A	M
3	14	A	M
3	15	A	M
3	16	A	M
3	21	A	C
3	26	A	M
3	27	A	M
3	28	A	M
3	29	A	M
3	30	A	M
3	31	A	M
3	32	A	M
3	33	A	M
3	37	A	C
3	48	A	C
3	49	A	C
3	51	A	C
3	52	A	C
3	54	A	C
3	72	A	M
3	102	A	C
3	104	A	C
3	106	A	C
3	131	A	C
3	137	A	C
3	138	A	C
3	141	A	C
3	169	A	M
3	177	A	M
3	178	A	M
3	179	A	M
3	180	A	M
3	181	A	M
3	184	A	M
3	185	A	M
3	213	A	C
3	229	A	C
3	232	A	C
3	269	A	C
3	274	A	C
3	324	A	C
3	355	A	C
3	356	A	C
3	357	A	C
3	358	A	C
3	366	A	C
3	367	A	C
3	368	A	C
3	384	A	C
3	385	A	C
3	386	A	C
3	389	A	C
3	390	A	C
3	442	A	C
3	499	S	M
3	502	S	M
3	513	A	C
3	521	A	C
3	527	A	C
3	531	A	C
3	532	A	C
3	556	A	C
3	569	A	C
3	571	A	M
3	572	A	M
3	575	A	M
3	597	A	C
3	604	A	M
3	608	A	C
3	611	A	C
3	613	A	C
3	614	A	C
3	616	A	C
3	619	A	M
3	626	A	C
3	627	A	C
3	630	A	M
3	632	A	M
3	633	A	M
3	634	A	M
3	634	A	C
3	635	A	M
3	635	A	C
3	636	A	M
3	637	A	M
3	638	A	C
3	645	A	C
3	657	A	C
3	658	A	C
3	662	A	C
3	667	A	C
3	669	A	C
3	670	A	C
3	671	A	C
3	672	A	C
3	673	A	C
3	674	A	C
3	675	A	C
3	676	A	C
3	677	A	C
3	678	A	C
3	679	A	C
3	680	A	C
3	681	A	C
3	682	A	C
3	683	A	C
3	686	A	M
3	690	A	M
3	691	A	M
3	692	A	C
3	693	A	C
3	694	A	C
3	696	A	C
3	697	A	C
3	698	A	C
3	700	A	C
3	701	A	C
3	702	A	C
3	703	A	C
3	704	A	C
3	705	A	C
3	708	A	C
3	711	A	C
3	713	A	C
3	714	A	M
3	715	A	C
3	716	A	M
3	717	A	C
3	718	A	C
3	719	A	C
3	720	A	C
3	721	A	C
3	742	A	C
3	743	A	C
3	744	A	C
3	745	A	C
3	746	A	C
3	747	A	C
3	748	A	C
3	749	A	C
3	750	A	C
3	751	A	C
3	752	A	C
3	753	A	C
3	754	A	C
3	755	A	C
3	758	A	M
3	759	A	C
3	760	A	C
3	761	A	C
4	23	A	M
4	24	A	M
4	170	S	M
4	446	A	M
4	447	A	M
4	448	A	M
4	449	A	M
4	450	A	M
4	451	A	M
4	452	A	M
4	454	A	M
4	455	A	M
4	456	A	M
4	458	A	M
4	459	A	M
4	460	A	M
4	461	A	M
4	462	A	M
4	463	A	M
4	464	A	M
4	465	A	M
4	466	A	M
