FK_ISSUE_ID	FK_RA_ID
1	13
1	15
1	16
1	71
1	102
1	143
1	158
1	172
1	173
1	184
1	185
1	213
1	231
1	384
1	385
1	506
1	530
1	538
1	540
1	556
1	649
1	650
1	652
1	653
1	655
1	665
1	669
1	684
1	696
1	697
1	698
1	700
1	701
1	702
1	703
1	704
1	705
1	711
1	755
1	757
2	71
2	122
2	143
2	213
2	372
2	506
2	530
2	538
2	540
2	649
2	684
4	27
4	33
4	49
4	56
4	68
4	69
4	84
4	106
4	130
4	143
4	177
4	180
4	181
4	312
4	314
4	315
4	317
4	373
4	375
4	376
4	506
4	507
4	519
4	523
4	526
4	538
4	540
4	557
4	580
4	581
4	584
4	707
4	722
4	723
6	9
6	11
6	15
6	23
6	26
6	31
6	37
6	57
6	59
6	68
6	72
6	122
6	126
6	130
6	131
6	137
6	138
6	141
6	143
6	156
6	157
6	159
6	160
6	162
6	163
6	164
6	169
6	172
6	173
6	174
6	232
6	310
6	311
6	312
6	313
6	314
6	315
6	316
6	317
6	318
6	319
6	320
6	321
6	322
6	323
6	324
6	357
6	358
6	373
6	376
6	386
6	389
6	390
6	392
6	393
6	395
6	397
6	398
6	407
6	413
6	422
6	446
6	450
6	506
6	513
6	523
6	526
6	527
6	537
6	538
6	540
6	567
6	568
6	569
6	575
6	584
6	585
6	586
6	626
6	627
6	631
6	633
6	634
6	635
6	636
6	637
6	649
6	658
6	660
6	667
6	669
6	670
6	671
6	672
6	673
6	674
6	675
6	676
6	677
6	678
6	679
6	680
6	681
6	682
6	683
6	691
6	693
6	694
6	706
6	707
6	713
6	720
6	721
6	722
6	723
6	724
6	725
6	726
6	735
6	742
6	743
6	744
6	745
6	746
6	748
6	749
6	750
6	751
6	752
6	753
6	756
7	51
7	365
7	366
7	367
7	368
7	369
7	370
7	371
7	506
7	507
7	558
7	559
7	560
7	608
7	685
7	707
7	722
7	723
8	49
8	122
8	177
8	180
8	273
8	344
8	345
8	346
8	354
8	356
8	506
8	507
8	567
8	571
8	572
8	606
8	608
8	611
8	612
8	652
8	653
8	661
10	14
10	21
10	26
10	28
10	29
10	30
10	33
10	39
10	40
10	43
10	48
10	59
10	65
10	66
10	67
10	69
10	83
10	84
10	94
10	96
10	97
10	98
10	104
10	106
10	123
10	126
10	130
10	136
10	144
10	146
10	147
10	148
10	171
10	358
10	362
10	363
10	373
10	375
10	376
10	377
10	378
10	380
10	387
10	400
10	401
10	402
10	404
10	408
10	409
10	415
10	449
10	452
10	454
10	461
10	462
10	463
10	466
10	476
10	483
10	484
10	506
10	516
10	518
10	520
10	521
10	522
10	524
10	533
10	538
10	540
10	561
10	562
10	563
10	564
10	565
10	566
10	567
10	570
10	574
10	577
10	580
10	581
10	582
10	583
10	584
10	585
10	597
10	599
10	600
10	606
10	608
10	611
10	612
10	613
10	632
10	645
10	649
10	654
10	661
10	669
10	707
10	713
10	714
10	715
10	722
10	723
10	729
10	730
10	736
10	737
10	739
10	740
10	741
10	747
12	27
12	49
12	188
12	239
12	240
12	259
12	260
12	261
12	262
12	263
12	264
12	301
12	302
12	303
12	374
12	377
12	506
12	507
12	572
12	608
12	649
12	650
12	651
12	652
12	653
12	654
13	8
13	23
13	33
13	35
13	39
13	40
13	43
13	48
13	52
13	56
13	57
13	59
13	65
13	66
13	67
13	68
13	69
13	126
13	146
13	147
13	148
13	149
13	178
13	229
13	391
13	403
13	414
13	425
13	430
13	446
13	449
13	506
13	507
13	518
13	519
13	523
13	537
13	538
13	540
13	557
13	566
13	567
13	576
13	577
13	578
13	579
13	584
13	605
13	619
13	645
13	648
13	649
13	650
13	688
13	689
13	691
13	707
13	722
13	723
14	27
14	28
14	29
14	32
14	49
14	98
14	122
14	136
14	186
14	187
14	188
14	199
14	200
14	201
14	202
14	205
14	206
14	207
14	208
14	209
14	210
14	211
14	212
14	214
14	215
14	216
14	217
14	218
14	219
14	220
14	221
14	222
14	223
14	224
14	225
14	227
14	228
14	233
14	234
14	235
14	236
14	237
14	239
14	240
14	241
14	243
14	247
14	248
14	249
14	250
14	251
14	252
14	253
14	254
14	255
14	256
14	257
14	258
14	259
14	260
14	261
14	262
14	263
14	264
14	268
14	269
14	273
14	274
14	276
14	278
14	280
14	281
14	282
14	283
14	284
14	285
14	286
14	287
14	288
14	289
14	290
14	291
14	292
14	293
14	294
14	295
14	296
14	297
14	298
14	302
14	303
14	304
14	305
14	306
14	307
14	308
14	309
14	310
14	311
14	312
14	313
14	314
14	315
14	316
14	317
14	318
14	319
14	320
14	321
14	322
14	323
14	324
14	325
14	326
14	327
14	328
14	329
14	330
14	331
14	332
14	333
14	334
14	335
14	336
14	337
14	338
14	339
14	340
14	341
14	342
14	343
14	344
14	345
14	346
14	347
14	348
14	349
14	350
14	355
14	356
14	359
14	360
14	363
14	376
14	381
14	382
14	383
14	400
14	428
14	506
14	507
14	520
14	521
14	522
14	526
14	567
14	572
14	580
14	581
14	582
14	606
14	608
14	611
14	612
14	616
14	620
14	621
14	630
14	638
14	650
14	652
14	653
14	661
14	662
14	690
14	714
14	715
14	727
14	728
14	738
14	759
14	760
14	761
15	14
15	21
15	23
15	28
15	29
15	30
15	43
15	48
15	59
15	69
15	83
15	84
15	85
15	94
15	96
15	97
15	98
15	104
15	106
15	117
15	118
15	122
15	123
15	125
15	126
15	130
15	136
15	143
15	144
15	171
15	179
15	184
15	230
15	334
15	335
15	336
15	338
15	340
15	341
15	343
15	354
15	362
15	363
15	373
15	377
15	380
15	387
15	391
15	392
15	393
15	394
15	395
15	396
15	397
15	398
15	399
15	400
15	401
15	402
15	403
15	404
15	405
15	406
15	407
15	408
15	409
15	410
15	411
15	412
15	413
15	414
15	415
15	416
15	417
15	418
15	419
15	420
15	421
15	422
15	423
15	424
15	425
15	426
15	427
15	428
15	429
15	430
15	431
15	432
15	433
15	434
15	435
15	436
15	437
15	438
15	439
15	440
15	441
15	442
15	443
15	444
15	445
15	446
15	447
15	448
15	449
15	450
15	451
15	452
15	454
15	455
15	456
15	458
15	459
15	460
15	461
15	462
15	463
15	464
15	465
15	466
15	467
15	468
15	469
15	470
15	471
15	472
15	473
15	474
15	475
15	476
15	477
15	478
15	479
15	480
15	481
15	482
15	483
15	484
15	485
15	486
15	487
15	488
15	489
15	490
15	491
15	492
15	493
15	494
15	496
15	497
15	498
15	499
15	500
15	501
15	502
15	503
15	504
15	506
15	507
15	515
15	516
15	519
15	520
15	521
15	522
15	523
15	524
15	525
15	531
15	532
15	533
15	537
15	538
15	540
15	557
15	561
15	562
15	563
15	564
15	565
15	567
15	570
15	580
15	581
15	582
15	583
15	584
15	585
15	600
15	601
15	602
15	603
15	604
15	606
15	607
15	608
15	611
15	612
15	613
15	622
15	630
15	632
15	645
15	649
15	654
15	656
15	661
15	691
15	707
15	714
15	715
15	716
15	717
15	718
15	719
15	722
15	723
15	747
15	759
15	760
15	761
15	762
15	763
