FK_SPATIAL_ID	FK_RA_ID	VOLUNTARY
1	8	N
1	71	N
1	102	N
1	117	N
1	118	N
1	123	N
1	144	N
1	186	N
1	187	N
1	188	N
1	199	N
1	200	N
1	201	N
1	202	N
1	205	N
1	206	N
1	207	N
1	208	N
1	239	N
1	240	N
1	280	N
1	281	Y
1	282	N
1	283	N
1	284	N
1	285	N
1	286	N
1	287	N
1	288	N
1	289	N
1	290	N
1	298	N
1	333	N
1	334	N
1	335	N
1	337	N
1	339	N
1	342	N
1	344	N
1	345	N
1	346	N
1	347	N
1	348	N
1	349	N
1	350	N
1	357	N
1	358	N
1	377	N
1	446	N
1	447	N
1	448	N
1	450	N
1	451	N
1	452	N
1	455	N
1	456	N
1	458	N
1	459	N
1	460	N
1	461	N
1	462	N
1	463	N
1	464	N
1	465	N
1	466	N
1	467	N
1	469	N
1	470	N
1	471	N
1	472	N
1	473	N
1	474	N
1	475	N
1	476	N
1	477	N
1	478	N
1	479	N
1	480	N
1	481	N
1	482	N
1	483	N
1	484	N
1	485	N
1	486	N
1	487	N
1	488	N
1	489	N
1	490	N
1	491	N
1	492	N
1	493	N
1	494	N
1	496	N
1	497	N
1	498	N
1	499	N
1	500	N
1	502	N
1	503	N
1	504	N
1	530	N
1	574	N
1	583	N
1	584	N
1	585	N
1	746	N
1	754	N
2	8	N
2	14	Y
2	15	Y
2	16	Y
2	26	Y
2	27	Y
2	28	Y
2	29	Y
2	30	Y
2	31	Y
2	32	Y
2	33	Y
2	37	Y
2	71	N
2	72	Y
2	102	Y
2	125	N
2	126	N
2	131	Y
2	169	Y
2	177	N
2	178	N
2	179	N
2	180	N
2	181	N
2	184	Y
2	185	Y
2	186	N
2	187	N
2	199	N
2	200	N
2	201	N
2	202	N
2	205	N
2	206	N
2	207	N
2	208	N
2	214	N
2	215	N
2	216	N
2	217	N
2	218	N
2	219	N
2	220	N
2	221	N
2	222	Y
2	223	N
2	224	N
2	225	N
2	227	N
2	228	N
2	233	N
2	234	N
2	235	N
2	236	N
2	237	N
2	241	N
2	243	N
2	247	N
2	248	N
2	249	N
2	250	N
2	251	N
2	252	N
2	253	N
2	254	N
2	255	N
2	256	N
2	257	Y
2	258	N
2	273	N
2	280	N
2	281	Y
2	282	N
2	283	N
2	284	N
2	285	N
2	286	N
2	287	N
2	288	N
2	289	N
2	290	N
2	291	N
2	292	N
2	310	N
2	311	N
2	312	N
2	313	N
2	314	N
2	315	N
2	316	N
2	317	N
2	318	N
2	319	N
2	320	N
2	321	N
2	322	N
2	323	N
2	324	N
2	347	N
2	348	N
2	349	N
2	350	N
2	354	N
2	357	N
2	376	N
2	377	N
2	386	Y
2	389	Y
2	424	N
2	425	N
2	426	N
2	427	N
2	428	N
2	429	N
2	430	N
2	513	Y
2	526	N
2	527	Y
2	530	N
2	531	Y
2	532	Y
2	538	Y
2	555	N
2	572	N
2	604	Y
2	619	Y
2	630	Y
2	632	Y
2	633	Y
2	634	N
2	635	N
2	636	N
2	637	N
2	645	Y
2	662	N
2	672	Y
2	673	Y
2	675	Y
2	714	Y
2	716	Y
2	720	Y
2	742	Y
2	746	N
2	754	N
2	758	Y
3	8	N
3	9	N
3	11	N
3	13	N
3	15	N
3	16	N
3	21	N
3	24	N
3	26	N
3	27	N
3	28	N
3	29	N
3	30	N
3	31	N
3	32	N
3	33	N
3	35	N
3	37	N
3	39	N
3	40	N
3	43	N
3	48	N
3	49	N
3	51	N
3	52	N
3	54	N
3	56	N
3	57	N
3	59	N
3	65	N
3	66	N
3	67	Y
3	68	N
3	69	N
3	71	N
3	72	N
3	83	N
3	84	N
3	85	N
3	94	N
3	96	N
3	97	N
3	98	N
3	102	N
3	104	N
3	106	N
3	123	N
3	125	N
3	126	N
3	130	N
3	131	N
3	136	N
3	137	N
3	138	N
3	141	N
3	143	N
3	146	N
3	147	N
3	148	N
3	149	N
3	156	N
3	157	N
3	158	N
3	159	N
3	160	N
3	162	N
3	163	N
3	164	N
3	169	N
3	171	N
3	172	N
3	173	N
3	174	N
3	180	N
3	181	N
3	184	N
3	185	N
3	186	N
3	187	N
3	188	N
3	213	N
3	214	N
3	215	N
3	216	N
3	217	N
3	218	N
3	219	N
3	220	N
3	221	N
3	222	Y
3	223	N
3	224	N
3	225	N
3	227	N
3	228	N
3	229	N
3	230	N
3	231	N
3	232	N
3	234	N
3	235	N
3	236	N
3	237	N
3	239	N
3	240	N
3	241	N
3	243	N
3	247	N
3	248	N
3	249	N
3	250	N
3	251	N
3	252	N
3	253	N
3	254	N
3	255	N
3	256	N
3	257	Y
3	258	N
3	259	N
3	260	N
3	261	N
3	262	N
3	263	N
3	264	N
3	268	N
3	269	N
3	273	N
3	274	N
3	276	N
3	278	N
3	280	N
3	281	Y
3	282	N
3	283	N
3	284	N
3	285	N
3	286	N
3	287	N
3	288	N
3	289	N
3	290	N
3	293	N
3	294	N
3	295	N
3	296	N
3	297	N
3	298	N
3	301	N
3	302	N
3	303	N
3	304	N
3	305	N
3	306	N
3	307	N
3	308	N
3	309	N
3	310	N
3	311	N
3	312	N
3	313	N
3	314	N
3	315	N
3	316	N
3	317	N
3	318	N
3	319	N
3	320	N
3	321	N
3	322	N
3	323	N
3	324	N
3	344	N
3	345	N
3	346	N
3	347	N
3	348	N
3	349	N
3	350	N
3	354	N
3	355	N
3	356	N
3	357	N
3	358	N
3	359	N
3	360	N
3	365	N
3	366	N
3	367	N
3	368	N
3	370	N
3	371	N
3	372	N
3	373	N
3	374	N
3	375	N
3	376	N
3	377	N
3	378	N
3	380	N
3	384	N
3	385	N
3	386	N
3	387	N
3	389	N
3	390	N
